Packet number,a_x,a_y,a_z,w_x,w_y,w_z
571,-1180,-1076,17236,722,1878,-949
572,-1564,-740,17564,-589,-47,-1250
573,-1828,-572,16496,277,502,-1339
574,-144,-336,15652,1182,197,-730
575,-1040,160,16912,1506,-1220,29
576,-1132,144,16336,1724,493,-93
577,-704,-24,16308,1390,651,-413
578,-872,52,16468,-98,305,-504
579,-1192,-228,16452,-338,1786,-812
580,-1600,-92,15936,-146,934,-1736
581,-960,-44,15992,272,268,-2240
582,-524,40,17088,811,930,-3067
583,-924,-120,15944,1119,284,-3597
584,-828,-84,15700,919,727,-4546
585,-996,-100,15704,741,-175,-5292
586,-1456,-300,17108,847,1659,-6946
587,-1808,-252,16580,551,1907,-8858
588,-1232,-168,17620,-125,2774,-11360
589,-3112,412,16424,1223,6738,-14373
590,-2164,76,17772,2468,6179,-16468
591,-412,-504,16284,2165,4552,-17388
592,-3468,-1112,14828,4043,7173,-16546
593,-2240,-1620,15748,3451,-1905,-16763
594,-5548,-972,15092,4398,3646,-18266
595,-2396,-1368,15392,5828,1930,-19289
596,-5540,-1108,15756,4957,-3699,-21322
597,-756,-1120,16672,5588,2621,-22662
598,-7412,-1692,15444,5377,-2888,-24558
599,-1120,-56,16716,4697,2198,-24295
600,-4628,-640,15696,3908,620,-23090
601,-2340,-1084,15948,4573,3109,-22970
602,-3840,-1016,15552,2222,2501,-23349
603,-3300,-600,15488,2315,7247,-23360
604,-2984,-1528,15768,2105,2738,-22053
605,-4696,-2264,14680,1657,4613,-20953
606,-2332,-2856,16576,2493,5390,-20414
607,-6112,-3264,14688,2097,6844,-20830
608,-3288,-3524,14464,2899,5591,-19800
609,-2152,-3352,17924,4142,3675,-18352
610,-3688,-3552,14244,2808,-796,-14708
611,-3652,-2812,16444,4801,-1430,-13194
612,-3072,-2828,14572,5918,1243,-11475
613,-1120,-1540,15888,5600,1343,-9454
614,-2520,-2064,16040,5211,778,-8902
615,-3716,-3040,14112,5569,2012,-9350
616,-1596,-1520,16284,6275,2306,-8944
617,-2164,-1824,15720,4448,1391,-7834
618,-1300,-1968,17648,2641,1879,-4702
619,-1592,-1464,16944,1038,-587,-79
620,-2216,-1832,16596,-114,-10,2261
621,-2268,-2052,15764,-428,838,2998
622,-2256,-868,16924,269,97,3909
623,-2732,-1592,14856,350,-1642,2459
624,-2852,-1364,16184,-23,-679,1733
625,-2808,-952,15736,-28,-1574,1703
626,-2856,-1604,15092,-172,-640,1695
627,-2712,-1476,16020,193,-439,1605
628,-2088,-1576,16568,-533,-166,2470
629,-2880,-916,16432,-1605,-314,3958
630,-4948,5904,19060,-3721,-289,13815
631,-2884,-1088,16112,672,146,11886
632,-3552,-1176,15872,354,1196,13141
633,776,-1356,18960,-1101,-5169,18156
634,-3220,-1456,15564,-2284,1329,19228
635,-2260,-648,15144,-1857,2981,21454
636,-988,1336,17940,-4172,-6498,26273
637,-3496,1096,15692,-3573,-1607,25102
638,-1384,1488,18072,-7027,-1758,26334
639,-3520,816,14124,-5592,-4092,27158
640,1188,880,17012,-5488,-2468,28179
641,-1428,528,17772,-4887,403,28126
642,-3216,240,12660,-5483,73,26591
643,-1164,1212,16588,-3540,-627,26369
644,-128,884,16940,-1172,-7712,29127
645,-2420,792,15036,1373,-6222,26757
646,-2416,280,15884,-88,-2606,25865
647,-1148,820,16620,1659,-3400,24051
648,972,52,17200,1746,-2182,23181
649,-2076,520,17512,1481,-1223,21575
650,-1000,124,17476,1027,6157,17546
651,3224,424,15936,10,4902,17841
652,1196,816,15604,-243,2237,18242
653,32,964,14304,-195,5835,16424
654,-876,2012,15636,-157,3700,14451
655,-2176,548,17260,-1492,441,9903
656,272,368,16520,-2295,3606,6240
657,-356,832,17256,-3314,3790,4542
658,-524,1140,16208,-1392,3164,2956
659,-936,1992,16308,-432,1789,928
660,-12,1304,15716,310,-580,1007
661,-1780,1012,16548,153,1588,1269
662,-2020,884,16288,-1634,886,619
663,-2228,472,15656,-1156,-106,-486
664,-1764,8,16800,-718,799,-932
665,-1588,156,16712,-819,-1387,-418
666,-1908,364,16516,-289,-278,-156
667,-1328,-136,17476,-547,1011,-364
668,-1048,384,15928,-661,-663,-79
669,-1768,552,15628,593,475,-947
670,-908,372,17032,1278,1,-1220
671,-668,472,16916,709,-860,-908
672,-336,772,16424,-40,-252,-191
673,-776,1204,16952,-415,311,36
674,-1320,792,16412,-163,1168,-265
675,-1372,608,16124,-230,134,-1159
676,-1112,436,15796,543,-1081,-1400
677,-1068,464,16760,1705,185,-1975
678,-876,700,17108,1938,-927,-2443
679,-1452,836,16404,2344,-748,-3218
680,-1452,1248,15536,2760,-332,-3312
681,-2128,1116,15048,3114,-260,-4787
682,-804,1436,15620,2499,515,-6456
683,-1804,1644,16456,3022,2,-8668
684,544,2088,16700,2988,230,-10812
685,-3016,2004,14288,3215,1263,-11746
686,-68,1936,17404,1802,-2055,-11168
687,-1492,2264,16548,3,-5170,-10303
688,336,1524,17368,-352,4058,-11299
689,-5112,596,13044,-142,521,-13581
690,-3740,1520,16260,1423,-372,-16633
691,-356,796,16576,1850,3347,-18833
692,-4580,1180,15292,2200,-692,-19115
693,860,1056,15712,3017,-2243,-19257
694,-4708,560,15368,2170,-1300,-19569
695,-1660,308,15280,1313,-712,-19453
696,-2888,904,16164,1730,-248,-20452
697,-544,728,16236,1511,2232,-19165
698,-1044,656,16080,2295,-728,-17571
699,-4088,1072,15496,2801,2275,-15817
700,-2616,1168,15956,2385,3045,-11695
701,-3252,900,17788,1266,-2036,-6533
702,-2280,64,17488,1023,-221,-3960
703,-3208,364,16784,-618,-867,-2678
704,-2828,468,16500,-201,-2697,-88
705,-1112,212,15024,693,-3775,561
